ID,TITLE,LINK,BUTTON_TEXT,DATE,DESCRIPTION,IMAGESIZE
posterabstractsnews,NM WRRI's 67th Annual New Mexico Water Conference Announces Call for Poster Abstracts,https://www.cvent.com/c/abstracts/663afcde-d5f5-4182-976b-8ffb6587500d,Submit Abstract,31-Aug-22,"The New Mexico Water Resources Research Institute is pleased to announce a Call for Poster Abstracts for the 67th Annual New Mexico Water Conference. This year's conference will be held October 26-27, 2022, in a hybrid format at the Las Cruces Convention Center, adjacent to New Mexico State University, and online via Zoom. Save the date! Registration will be open soon.",
futureproject,Secure Water Future Project Explores Western Water Issues in California with Expedition Including NMSU Graduate Students,https://nmwrri.nmsu.edu/secure-water-future-project-explores-western-water-issues-in-california-with-expedition-including-nmsu-graduate-students/,Learn More,21-Aug-22,"The USDA-funded Secure Water Future project aims to understand, enable, and envision water management strategies through data-enabled decision-making. The project has partnered with NMSU, Utah State University, and several campuses within the University of California system, including Merced, Davis, and Berkeley. The Secure Water Future project recently held a Climate Adaptation Science Academy Experiential Learning Expedition (CASA ELE) from August 1 to August 7. CASA ELE invited graduate students from NMSU, Utah State University, UC Merced, UC Davis, and UC Berkeley to Merced, California, to experience the processes that drive decision-making on water issues in the semi-arid western US. The expedition sought to inform graduate students on topics in groundwater management, environmental water management, hydroclimatic conditions, and reconciling agriculture and ecosystems.",
big-leap,Taking a big leap to solve California water problems: How uncommon partners are finding common ground on the water,https://blogs.edf.org/waterfront/2022/07/21/leap-solve-california-water-problems-uncommon-partners/,Read More,21-Jul-22,"There we were, 19 of us on the stony shore of the Tuolumne River, feeling a bit stranded like the crew of Gilligan’s Island. Our “Finding Common Water” rafting excursion was planned around “no water Wednesday,” when river releases are held back for water conservation and infrastructure maintenance. The trip’s goal: Get off our desk chairs and onto rafts, out of the ordinary and into an extraordinary setting — a hot, highly regulated, wild and scenic river —  to push us out of our comfort zone and get to work on addressing real water problems.",
caballo-dam,"NM WRRI Organizes Field Site Visit for Graduate Students and University of California, Merced Researchers",https://mailchi.mp/nmsu/new-mexico-water-enews-june-2022?e=011cc8f375/#:~:text=Secure%20Water%20Future,Read More,"""June 2, 2022","The recently funded USDA project, Secure Water Future, aims to develop and deliver new tools and techniques for improving water management and building a climate resilient water future in water-stressed regions. The project has three study sites located in New Mexico, California, and Utah that are representative of varying conditions of agriculture, water management, and sociopolitical structures in the western United States. To understand the similarities and differences between the sites, it is important for researchers to see the watersheds firsthand.",
,Join the Transdisciplinary Water Research Ecosystem at UC Merced,https://aprecruit.ucmerced.edu/JPF01362,Learn More,26-May-22,"Recent global climate extremes, which in California include among the most severe droughts on record, have highlighted the rapidly changing conditions that affect water supply for agriculture, ecosystems, and the growing population in semi-arid regions. The varied geography in both California and Mexico provides compelling intersections of water resource availability and demand as affected by hydroclimatic extremes and system shocks. Water resource managers and climate scientists in both places have relied on incremental water management and institutional learning at all levels as building blocks to better manage water shortages. Some promising avenues point to flexible water allocation through markets, managed aquifer recharge, and water conservation; however, those insights are rarely shared across provincial borders. Furthermore, pervasive groundwater overdraft catalyzed the 2014 sustainable water management act requiring groundwater basins to achieve balance in pumping and extractions by 2040. Such legislation can set the basis for sustainable water management in other regions in the US and Mexico.",
drought2,Drought and California’s Agriculture,https://www.ppic.org/publication/policy-brief-drought-and-californias-agriculture/?utm_source=ppic&utm_medium=email&utm_campaign=epub,Learn More,14-Apr-22,"California’s agricultural sector is the nation’s largest: it generates more than $50 billion in annual revenue and employs more than 420,000 people. The ongoing drought is taking a toll on agriculture, related sectors, and rural communities, but there are ways to increase resilience in a warming world.",75
susie-climate,Secure Water Future Featured as UC Research Helping Meet the Challenges of the Climate Crisis,https://universityofcalifornia.edu/news/how-uc-research-helping-california-meet-challenges-climate-crisis,Read More,6-Apr-22,"Secure Water Future is highlighted as one of the projects involving University of California researchers that have the potential to help meet the challenges of the climate crisis. Along with other innovative research and education initiatives, Secure Water Future brings together researchers and extension specialists to enhance climate resilience.",
drought,"Last Year’s Drought Cost Ag Industry More Than $1 Billion, Thousands of Jobs, New Analysis Shows",https://citris.ucmerced.edu/news/last-year’s-drought-cost-ag-industry-more-1-billion-thousands-jobs-new-analysis-shows,Read More,24-Feb-22,"<a href=http://drought.ucmerced.edu>The Economic Impacts of the 2021 Drought on California Agriculture Preliminary Report,</a> released today, analyzes the impacts of last year’s drought in the Central Valley, the Russian River Basin, and northern intermountain valley areas. The researchers developed these preliminary estimates of economic impacts using surveys, reviews of hydrological information, and remote sensing data gathered from those areas and comparing them to average conditions, as well as to the 2012-2016 drought.",
,Dr. Josh Viers Speaks with Insight’s Vicki Gonzalez,https://www.capradio.org/news/insight/2022/01/25/scusd-equity-officers-san-joaquin-valley-climate-change-b-street-theatre-co-founder-retires/,Full Podcast,25-Jan-22,"Dr. Josh Viers was recently interviewed by Insight’s Vicki Gonzalez. In their discussion, Dr. Viers described a UC Merced study on how climate change will likely impact agriculture and disadvantaged communities in the San Joaquin Valley. Speaking about climate change, Dr. Viers stated, “It is a race against time […] We need to […] think about a clean energy future. That is the full transition and decarbonization of agriculture.”<br><br>Listen to the full discussion at <a href=https://www.capradio.org/news/insight/2022/01/25/scusd-equity-officers-san-joaquin-valley-climate-change-b-street-theatre-co-founder-retires/ target=_blank>capradio.org</a>. To hear Dr. Viers discussion on the impact of climate change, skip to 11:50.",
ccca,Faculty Report IDs Top Climate Challenges Facing Valley,https://citris.ucmerced.edu/news/faculty-report-ids-top-climate-challenges-facing-valley,Read More,20-Jan-22,"California’s Central Valley is on the front lines of climate change. The Fourth Regional Climate Change Assessment, by a team of UC Merced and affiliated researchers, illustrates the biggest problems — and possible solutions — facing California’s unique biomes and communities, from the coasts to the mountains and deserts.",
team-photo-UST2,Sarah Null speaks on water markets in Utah State Today article,https://www.usu.edu/today/story/head-above-water-major-grant-awarded-for-research-on-water-markets,Read More,23-Nov-21,"In the article <a href=https://www.usu.edu/today/story/head-above-water-major-grant-awarded-for-research-on-water-markets target=_blank>Head Above Water: Major Grant Awarded for Research on Water Markets</a> by USU Today, quotes by Sarah Null describe the importance of water markets: “Water markets are established and working well in places like California and Australia,” said Null. “The approach is promising to re-allocate water within Utah’s water law, but there’s a lot we still don’t understand about how it will work—how recharge and evapotranspiration shift during droughts and floods, why farmers choose to enter or avoid water markets, when surplus water could be purchased for environmental water uses, and the tools that farmers need to make better decisions in real time.”",
,"Researchers to Study, Report on Impacts of Drought on Agriculture and Communities",https://citris.ucmerced.edu/news/drought-impacts,Read More,17-Nov-21,"A new $1.5 million research grant from the California Department of Food and Agriculture is supporting School of Engineering Professor <a href=https://www.ucmerced.edu/content/josu%C3%A9-medellin-azuara> Josué Medellín-Azuara</a>, collaborating engineering professors <a href=https://www.ucmerced.edu/content/joshua-viers>Joshua Viers</a> and <a href=https://www.ucmerced.edu/content/john-abatzoglou> John Abatzoglou </a> and engineering and policy expert <a href=https://www.ppic.org/person/alvar-escriva-bou/> Alvar Escriva-Bou </a> from the Public Policy Institute of California (PPIC) in developing economic analysis and decision support tools for agriculture during droughts.",
subdivided-land,UC MERCED's Professor Josué Medellín-Azuara and Christina Babbitt of the environmental defense fund quoted in GVWire Article,https://gvwire.com/2021/11/15/will-this-space-age-tool-transform-water-use-in-valley/,Read More,15-Nov-21,Professor Josué Medellín-Azuara and Dr. Christina Babbitt were recently quoted in an article by GVWire.com titled: <u>Will This Space-Age Tool Transform Water Use in Valley?</u> The article outlines how OpenET satellite data will be allowed as an alternative to metering landowner's water usage in the Sacramento-San Joaquin Delta.,
duck-pond,Managing Water Stored for the Environment During Drought,https://californiawaterblog.com/2021/11/07/managing-water-stored-for-the-environment-during-drought/,Read More,7-Nov-21,"Sarah Null and other researchers examine 2021 water year actions by the federal Central Valley Project (CVP) and the State Water Project (SWP), which sought to maximize water deliveries while meeting environmental regulatory standards in a severe drought. Based on this experience, they offer recommendations to better protect the environment if California is faced with dry conditions in 2022 or beyond.",
drought3,Implications of the Drought for California Agriculture,https://nature.berkeley.edu/news/2021/11/implications-drought-california-agriculture,Read More,4-Nov-21,"The 2020–21 drought has been unusually severe. Low precipitation, coupled with high evaporative demand has affected irrigated agriculture and livestock pastures. Yet California agriculture is adept at adapting. The authors of a new special issue of <a href=https://s.giannini.ucop.edu/uploads/pub/2021/10/29/v25n1_PtGmO5o.pdf target=_blank><em>ARE Update</em></a> find that, despite record-setting drought conditions and hundreds of thousands of acres left unplanted, California farms and ranches, as a whole, may generate normal revenue in 2021. <p><a href=https://are.berkeley.edu/user/13761 target=_blank>Ellen Bruno</a>, an assistant Cooperative Extension specialist in the Department of Agricultural and Resource Economics, is a co-editor of the special issue and the author of the conclusion section of the publication.</p>",
facts-banner2,FACTS AG-FOOD-TECH INTERNSHIP,https://citris.ucmerced.edu/facts,Learn More and Apply,4-Nov-21,"CITRIS is offering a new, innovative summer research program to give students who are entering UC Merced (first-year and transfer students) and students who are in the process of completing their first year (rising sophomore students) an opportunity for research experience in ag-food-tech.",
,USDA-funded SWIM aims to secure water for agriculture and ecosystems,https://nature.berkeley.edu/news/2021/10/usda-funded-swim-aims-secure-water-agriculture-and-ecosystems,Read More,28-Oct-21,28-Oct-21,"<p>A new $10 million collaborative effort funded by the <a href=https://www.usda.gov/media/press-releases/2021/10/06/usda-announces-more-146m-investment-sustainable-agricultural target=_blank>U.S. Department of Agriculture</a> (USDA) and involving multiple institutions across three states aims to improve agricultural and environmental water resilience in water-scarce regions of the U.S. </p> <p>The partners in the USDA funded collaboration— Securing a Climate Resilient Water Future for Agriculture and Ecosystems through Innovations in Measurement, Management and Markets</a> or SWIM—will focus on developing more robust, data-driven information systems for decision-makers such as land and water managers. SWIM is designed to provide objective measures of supply and demand and incorporate drought forecasting and climate change trends.</p> <p>“Alternating periods of extremely dry years and very wet years will be an increasingly large challenge for agriculture and ecosystem management,” said <a href=https://are.berkeley.edu/user/13761 target=_blank>Ellen Bruno</a>, a Cooperative Extension Specialist in the Department of Agricultural and Resource Economics who is part of the team. “This project is an interdisciplinary approach to improving water measurement and water management in arid regions. The goal is to build a more resilient future for agricultural and ecological systems in the West.”</p> <p>Led by UC Merced, the coalition of researchers includes experts from UC Berkeley, UC Davis, <a href=https://ucanr.edu/ target=_blank>UC Agriculture and Natural Resources</a>, Utah State University, the New Mexico Water Resources Research Institute at New Mexico State University, the Public Policy Institute of California, Environmental Defense Fund, and the U.S. Geological Survey’s Southwestern Climate Hub.</p> <p><strong>Michael Kiparsky</strong> and <strong>Nell Green Nylen</strong> of the Center for Law, Energy &amp; the Environment at UC Berkeley School of Law are also collaborators on the project.</p> <p>“A big focus of this project is on water markets and understanding how improvements in measurement and other management practices can enhance the ability of markets to make agriculture and ecosystems more resilient to climate change,” said Bruno, whose work centers on water use, with a particular focus on strategies to mitigate the economic costs of drought and climate change. “I'm thrilled to try to tackle these issues with this team of hydrologists, economists, engineers, extension and education specialists, soil and climate scientists, and water policy experts.”</p> <p>By working with local decision-makers, the research and extension team will improve the accuracy of measurement in water budgets, evaluate novel management strategies such as on-farm aquifer recharge, and evaluate water trading and markets to improve sustainable surface and groundwater use.</p><p>Read more in the <a href=https://news.ucmerced.edu/news/2021/uc-merced-leads-innovative-effort-secure-water-agriculture-and-ecosystems target=_blank>press release on the UC Merced website</a>.</p>"
openet,Consortium Launches New Online Water Data Platform to Transform Water Management in the Western United States as Droughts Intensify,https://openetdata.org/,Learn more,21-Oct-21,"OpenET is a new online platform that uses satellites to estimate water consumed by crops and other plants. Launched today, this program aims to make critical data for water management widely available in 17 western states for the first time amid record drought.",
jennifer-atkinson,"Climate Anxiety, Grief and Hope: Moving from Angst to Action with Dr. Jennifer Atkinson",https://mailchi.mp/d53b21add0b9/climate-anxiety-grief-and-hope-moving-from-angst-to-action-dr-jennifer-atkinson?e=82126a79ba,Learn more,20-Oct-21,"Join speaker Dr. Jennifer Atkinson on Wednesday, October 20, 2021, at 7:00 PM MDT as she explores the mental health dimensions of climate disruption among students, scientists, activists, and frontline communities, and shares practical strategies for building the emotional resilience to channel despair into meaningful action. The seminar will be hosted by our partner USDA SW Climate Hub.",
citris,CITRIS HIRING Academic Coordinator II,https://citris.ucmerced.edu/news/academic-coordinator-position,Learn more and Apply,12-Oct-21,"CITRIS is now hiring an Academic Coordinator for developing, tracking, and reporting core elements of the USDA Sustainable Agricultural Systems project: Securing a Climate Resilient Water Future through Innovation in Measurement, Management, and Markets (SWIM). <a href=>Learn more</a>.",
SWIM-VIERS,UC MERCED LEADS INNOVATIVE EFFORT TO SECURE WATER FOR AGRICULTURE AND ECOSYSTEMS,https://citris.ucmerced.edu/news/SWIM,Learn More,6-Oct-21,"UC Merced's largest research grant in its 16-year history aims to improve agricultural and environmental water resilience. The new $10 million collaborative focuses on water banking, trading and improvements in data-driven management practices to arrive at a climate-resilient future in water-scarce regions of the United States.",
